"vaccination_campaign","cohort_start_date","n"
"A_2024",2024-11-30,22
"A_2023",2023-12-10,8
"A_2023",2023-12-13,8
"A_2023",2023-12-20,8
"S_2025",2025-04-03,6
"A_2024",2024-12-04,15
"A_2024",2024-12-10,18
"S_2024",2024-05-03,21
"A_2023",2023-10-20,36
"A_2024",2024-12-09,35
"A_2023",2023-11-28,28
"A_2024",2024-10-11,43
"S_2025",2025-04-10,7
"A_2024",2024-09-29,5
"A_2023",2023-10-01,6
"S_2024",2024-05-23,14
"A_2023",2024-01-07,5
"A_2024",2024-11-10,16
"A_2023",2023-10-23,49
"S_2024",2024-04-23,27
"A_2023",2023-09-18,27
"S_2024",2024-05-18,17
"S_2025",2025-05-04,5
"S_2025",2025-04-28,15
"A_2023",2023-11-10,33
"A_2023",2024-01-02,5
"A_2023",2023-12-21,5
"A_2023",2023-10-03,75
"A_2024",2024-09-30,10
"A_2023",2024-01-23,5
"A_2023",2023-11-05,15
"A_2023",2023-11-14,38
"S_2025",2025-04-07,9
"S_2025",2025-04-19,8
"A_2023",2023-09-15,26
"A_2023",2023-09-23,23
"A_2023",2023-10-28,31
"S_2024",2024-04-17,29
"A_2023",2023-09-11,27
"S_2025",2025-05-06,16
"A_2023",2023-09-05,11
"A_2024",2024-11-27,26
"A_2023",2023-11-22,36
"S_2025",2025-05-12,12
"A_2024",2024-10-15,53
"A_2024",2024-09-25,5
"S_2024",2024-05-02,32
"A_2024",2024-09-28,15
"A_2023",2024-01-05,5
"S_2024",2024-05-04,9
"A_2024",2024-11-19,42
"S_2024",2024-04-22,22
"S_2024",2024-05-06,5
"A_2023",2023-10-08,24
"A_2024",2024-10-05,58
"A_2023",2023-10-22,18
"A_2023",2024-01-18,5
"S_2024",2024-05-16,22
"A_2023",2023-11-12,15
"A_2023",2023-10-31,54
"A_2023",2023-11-03,40
"A_2023",2023-09-22,36
"A_2023",2024-01-29,5
"A_2024",2024-09-27,5
"A_2023",2024-01-24,5
"A_2024",2024-12-20,12
"A_2023",2023-09-16,5
"S_2024",2024-04-30,27
"A_2024",2024-10-08,50
"A_2024",2024-10-31,33
"A_2024",2024-11-22,27
"A_2023",2023-09-29,41
"A_2024",2024-12-16,10
"A_2024",2024-10-20,10
"A_2024",2024-11-02,23
"S_2024",2024-04-18,31
"A_2023",2023-11-30,35
"S_2025",2025-05-11,5
"A_2023",2023-09-08,12
"A_2023",2023-09-26,33
"S_2024",2024-05-28,12
"S_2024",2024-04-28,7
"A_2023",2023-10-30,40
"A_2024",2024-11-08,32
"A_2023",2023-11-21,44
"A_2023",2023-11-07,42
"S_2024",2024-05-25,11
"A_2023",2024-01-25,5
"A_2023",2023-11-29,24
"S_2025",2025-05-02,14
"A_2024",2024-10-07,29
"A_2024",2024-12-12,17
"S_2024",2024-05-10,26
"A_2024",2024-12-07,6
"A_2023",2023-09-13,26
"A_2024",2024-10-16,41
"S_2025",2025-04-25,19
"A_2023",2023-11-01,34
"A_2023",2024-01-16,5
"A_2023",2023-11-18,26
"A_2023",2023-10-17,73
"A_2024",2024-11-26,24
"A_2024",2024-10-06,12
"A_2023",2024-01-17,5
"A_2023",2023-10-14,76
"A_2024",2024-10-21,36
"S_2024",2024-05-22,13
"A_2023",2023-10-06,43
"S_2024",2024-05-12,10
"S_2025",2025-04-29,24
"S_2025",2025-05-01,33
"A_2023",2023-09-07,10
"A_2024",2024-12-15,5
"S_2024",2024-05-31,10
"A_2023",2024-01-15,5
"A_2023",2023-12-07,20
"A_2023",2023-11-17,35
"A_2023",2023-09-10,5
"S_2025",2025-05-08,17
