"cohort_start_date","n"
2021-03-09,68
2021-07-13,14
2023-06-08,10
2022-10-10,71
2022-10-28,73
2022-07-14,5
2023-06-10,5
2025-03-31,6
2022-09-25,29
2022-09-22,50
2024-04-28,7
2022-07-20,7
2022-04-08,46
2023-09-24,11
2024-02-15,5
2022-05-19,22
2021-12-30,158
2025-05-02,14
2020-12-23,22
2021-10-27,104
2023-02-25,5
2024-06-21,5
2021-10-15,66
2024-09-29,5
2023-09-08,12
2022-10-21,63
2022-05-23,8
2021-11-22,80
2022-02-25,14
2022-04-01,23
2023-12-04,22
2024-11-12,47
2021-12-03,86
2025-01-18,5
2022-01-23,29
2023-05-20,16
2022-12-23,5
2024-12-14,10
2021-11-10,102
2021-09-06,5
2021-10-12,75
2021-06-06,35
2023-04-19,32
2022-03-17,5
2020-08-31,5
2022-12-06,20
2023-06-11,5
2025-05-06,16
2022-01-28,21
2021-03-03,84
2021-07-08,18
2024-04-06,5
2021-06-27,28
2022-01-22,24
2023-09-27,40
2022-06-12,6
2023-06-12,5
2025-05-10,6
2022-03-11,13
2023-01-28,5
2022-03-02,9
2024-04-13,7
2024-04-17,29
2021-01-04,18
2022-03-29,22
2021-01-27,112
2023-09-17,6
2021-01-12,69
2024-06-24,6
2021-07-17,19
2023-01-20,5
2023-11-20,28
2023-02-05,5
2024-05-27,9
2023-04-02,5
2023-04-09,5
2022-07-12,5
2021-09-25,32
2025-04-17,14
2022-02-18,6
2025-01-20,5
2022-09-14,38
2021-04-01,78
2023-05-05,21
2023-03-29,6
2022-01-15,36
2021-11-02,89
2022-06-15,14
2024-11-19,42
2023-10-03,75
2024-04-03,10
2021-03-16,111
2024-01-31,5
2021-04-24,27
2022-08-15,5
2022-12-14,15
2024-06-13,8
2023-09-15,26
2021-09-26,24
2022-07-01,5
2025-01-30,5
2023-10-11,52
2021-10-03,36
2021-06-19,37
2024-12-03,18
2021-08-13,23
2023-02-27,5
2023-04-05,19
2023-10-17,73
2024-01-15,5
