"cohort_start_date","dose","n_dose","n"
2020-06-01,"1 dose",1,5
2020-08-31,"2 dose",1,5
2020-10-14,"1 dose",1,5
2020-11-10,"1 dose",1,5
2020-11-27,"1 dose",1,5
2020-12-07,"1 dose",1,5
2020-12-08,"1 dose",5,5
2020-12-09,"1 dose",9,9
2020-12-10,"1 dose",5,5
2020-12-11,"1 dose",15,15
2020-12-12,"1 dose",7,7
2020-12-13,"1 dose",4,5
2020-12-14,"1 dose",25,25
2020-12-15,"1 dose",26,26
2020-12-16,"1 dose",16,16
2020-12-17,"1 dose",29,29
2020-12-18,"1 dose",20,20
2020-12-19,"1 dose",14,14
2020-12-20,"1 dose",15,15
2020-12-21,"1 dose",25,25
2020-12-22,"1 dose",36,36
2020-12-23,"1 dose",22,22
2020-12-24,"1 dose",10,10
2020-12-28,"1 dose",5,5
2020-12-29,"1 dose",17,17
2020-12-30,"1 dose",35,35
2020-12-31,"1 dose",13,13
2021-01-01,"1 dose",9,9
2021-01-02,"1 dose",4,5
2021-01-03,"1 dose",6,6
2021-01-04,"1 dose",18,18
2021-01-05,"1 dose",28,28
2021-01-06,"1 dose",38,38
2021-01-07,"1 dose",47,47
2021-01-08,"1 dose",43,43
2021-01-09,"1 dose",31,31
2021-01-10,"1 dose",14,14
2021-01-11,"1 dose",44,44
2021-01-12,"1 dose",69,69
2021-01-13,"1 dose",50,50
2021-01-14,"1 dose",82,82
2021-01-15,"1 dose",88,88
2021-01-16,"1 dose",63,63
2021-01-17,"1 dose",23,23
2021-01-18,"1 dose",47,47
2021-01-19,"1 dose",79,79
2021-01-20,"1 dose",76,76
2021-01-21,"1 dose",108,108
2021-01-22,"1 dose",114,114
2021-01-23,"1 dose",102,102
2021-01-24,"1 dose",29,29
2021-01-25,"1 dose",76,76
2021-01-26,"1 dose",62,62
2021-01-27,"1 dose",112,112
2021-01-28,"1 dose",107,107
2021-01-29,"1 dose",107,107
2021-01-30,"1 dose",101,101
2021-01-31,"1 dose",50,50
2021-02-01,"1 dose",94,94
2021-02-02,"1 dose",136,136
2021-02-03,"1 dose",107,107
2021-02-04,"1 dose",165,165
2021-02-05,"1 dose",146,146
2021-02-06,"1 dose",160,160
2021-02-07,"1 dose",81,81
2021-02-08,"1 dose",142,142
2021-02-09,"1 dose",143,143
2021-02-10,"1 dose",154,154
2021-02-11,"1 dose",162,162
2021-02-12,"1 dose",169,169
2021-02-13,"1 dose",131,131
2021-02-14,"1 dose",79,79
2021-02-15,"1 dose",77,77
2021-02-16,"1 dose",80,80
2021-02-17,"1 dose",101,101
2021-02-18,"1 dose",108,108
2021-02-19,"1 dose",79,79
2021-02-20,"1 dose",58,58
2021-02-21,"1 dose",34,34
2021-02-22,"1 dose",66,66
2021-02-23,"1 dose",78,78
2021-02-24,"1 dose",90,90
2021-02-25,"1 dose",83,83
2021-02-26,"1 dose",91,91
2021-02-27,"1 dose",54,54
2021-02-28,"1 dose",37,37
2021-03-01,"1 dose",68,68
2021-03-02,"1 dose",89,89
2021-03-03,"1 dose",84,84
2021-03-04,"1 dose",101,101
2021-03-05,"1 dose",72,72
2021-03-06,"1 dose",76,76
2021-03-07,"1 dose",27,27
2021-03-08,"1 dose",37,37
2021-03-09,"1 dose",68,68
2021-03-10,"1 dose",76,76
2021-03-11,"1 dose",79,79
2021-03-12,"1 dose",110,110
2021-03-13,"1 dose",93,93
2021-03-14,"1 dose",44,44
2021-03-15,"1 dose",94,94
2021-03-16,"1 dose",111,111
2021-03-17,"1 dose",148,148
2021-03-18,"1 dose",137,137
2021-03-19,"1 dose",155,155
2021-03-20,"1 dose",138,138
2021-03-21,"1 dose",82,82
2021-03-22,"1 dose",94,94
2021-03-23,"1 dose",119,119
2021-03-24,"1 dose",104,105
2021-03-24,"2 dose",1,105
2021-03-25,"1 dose",96,96
2021-03-26,"1 dose",113,113
2021-03-27,"1 dose",106,106
2021-03-28,"1 dose",77,77
2021-03-29,"1 dose",90,90
2021-03-30,"1 dose",82,83
2021-03-30,"2 dose",1,83
2021-03-31,"1 dose",111,112
2021-03-31,"2 dose",1,112
2021-04-01,"1 dose",78,78
2021-04-02,"1 dose",63,63
2021-04-03,"1 dose",35,35
2021-04-04,"1 dose",28,28
2021-04-05,"1 dose",33,33
2021-04-06,"1 dose",45,45
2021-04-07,"1 dose",55,55
2021-04-08,"1 dose",59,60
2021-04-08,"2 dose",1,60
2021-04-09,"1 dose",58,58
2021-04-10,"2 dose",1,66
2021-04-10,"1 dose",65,66
2021-04-11,"1 dose",25,25
2021-04-12,"1 dose",59,59
2021-04-13,"1 dose",52,52
2021-04-14,"1 dose",56,56
2021-04-15,"2 dose",1,46
2021-04-15,"1 dose",45,46
2021-04-16,"1 dose",44,44
2021-04-17,"1 dose",51,52
2021-04-17,"2 dose",1,52
2021-04-18,"1 dose",27,27
2021-04-19,"1 dose",21,22
2021-04-19,"2 dose",1,22
2021-04-20,"1 dose",48,49
2021-04-20,"2 dose",1,49
2021-04-21,"1 dose",57,59
2021-04-21,"2 dose",2,59
2021-04-22,"2 dose",1,45
2021-04-22,"1 dose",44,45
2021-04-23,"1 dose",61,61
2021-04-24,"1 dose",25,27
2021-04-24,"2 dose",2,27
2021-04-25,"2 dose",3,41
2021-04-25,"1 dose",38,41
2021-04-26,"2 dose",2,33
2021-04-26,"1 dose",31,33
2021-04-27,"1 dose",65,67
2021-04-27,"2 dose",2,67
2021-04-28,"2 dose",2,44
2021-04-28,"1 dose",42,44
2021-04-29,"1 dose",47,47
2021-04-30,"1 dose",61,63
2021-04-30,"2 dose",2,63
2021-05-01,"1 dose",34,35
2021-05-01,"2 dose",1,35
2021-05-02,"1 dose",32,32
2021-05-03,"1 dose",17,18
2021-05-03,"2 dose",1,18
2021-05-04,"2 dose",1,58
2021-05-04,"1 dose",57,58
2021-05-05,"1 dose",50,52
2021-05-05,"2 dose",2,52
2021-05-06,"1 dose",55,57
2021-05-06,"2 dose",2,57
2021-05-07,"1 dose",34,34
2021-05-08,"1 dose",52,52
2021-05-09,"2 dose",2,51
2021-05-09,"1 dose",49,51
2021-05-10,"1 dose",59,61
2021-05-10,"2 dose",2,61
2021-05-11,"2 dose",5,73
2021-05-11,"1 dose",68,73
2021-05-12,"1 dose",64,65
2021-05-12,"2 dose",1,65
2021-05-13,"1 dose",76,81
2021-05-13,"2 dose",5,81
2021-05-14,"2 dose",2,55
2021-05-14,"1 dose",53,55
2021-05-15,"1 dose",62,63
2021-05-15,"2 dose",1,63
2021-05-16,"2 dose",3,45
2021-05-16,"1 dose",42,45
2021-05-17,"2 dose",2,29
2021-05-17,"1 dose",27,29
2021-05-18,"1 dose",34,38
2021-05-18,"2 dose",4,38
2021-05-19,"2 dose",2,39
2021-05-19,"1 dose",37,39
2021-05-20,"1 dose",53,56
2021-05-20,"2 dose",3,56
2021-05-21,"1 dose",60,61
2021-05-21,"2 dose",1,61
2021-05-22,"1 dose",46,46
2021-05-23,"1 dose",33,34
2021-05-23,"2 dose",1,34
2021-05-24,"1 dose",44,44
2021-05-25,"1 dose",46,48
2021-05-25,"2 dose",2,48
2021-05-26,"1 dose",47,47
2021-05-27,"2 dose",4,74
2021-05-27,"1 dose",70,74
2021-05-28,"2 dose",4,59
2021-05-28,"1 dose",55,59
2021-05-29,"1 dose",33,36
2021-05-29,"2 dose",3,36
2021-05-30,"2 dose",1,30
2021-05-30,"1 dose",29,30
2021-05-31,"1 dose",43,43
2021-06-01,"1 dose",30,32
2021-06-01,"2 dose",2,32
2021-06-02,"2 dose",4,49
2021-06-02,"1 dose",45,49
2021-06-03,"1 dose",50,51
2021-06-03,"2 dose",1,51
2021-06-04,"2 dose",4,63
2021-06-04,"1 dose",59,63
2021-06-05,"2 dose",5,45
2021-06-05,"1 dose",40,45
2021-06-06,"2 dose",5,35
2021-06-06,"1 dose",30,35
2021-06-07,"1 dose",27,29
2021-06-07,"2 dose",2,29
2021-06-08,"1 dose",38,42
2021-06-08,"2 dose",4,42
2021-06-09,"2 dose",5,54
2021-06-09,"1 dose",49,54
2021-06-10,"2 dose",6,41
2021-06-10,"1 dose",35,41
2021-06-11,"2 dose",5,55
2021-06-11,"1 dose",50,55
2021-06-12,"1 dose",40,43
2021-06-12,"2 dose",3,43
2021-06-13,"1 dose",38,39
2021-06-13,"2 dose",1,39
2021-06-14,"2 dose",1,25
2021-06-14,"1 dose",24,25
2021-06-15,"1 dose",39,44
2021-06-15,"2 dose",5,44
2021-06-16,"1 dose",36,43
2021-06-16,"2 dose",7,43
2021-06-17,"2 dose",4,48
2021-06-17,"1 dose",44,48
2021-06-18,"2 dose",4,40
2021-06-18,"1 dose",36,40
2021-06-19,"2 dose",2,37
2021-06-19,"1 dose",35,37
2021-06-20,"2 dose",3,38
2021-06-20,"1 dose",35,38
2021-06-21,"1 dose",30,32
2021-06-21,"2 dose",2,32
2021-06-22,"2 dose",4,46
2021-06-22,"1 dose",42,46
2021-06-23,"1 dose",42,47
2021-06-23,"2 dose",5,47
2021-06-24,"2 dose",3,42
2021-06-24,"1 dose",39,42
2021-06-25,"1 dose",38,42
2021-06-25,"2 dose",4,42
2021-06-26,"1 dose",45,47
2021-06-26,"2 dose",2,47
2021-06-27,"1 dose",28,28
2021-06-28,"2 dose",1,43
2021-06-28,"1 dose",42,43
2021-06-29,"2 dose",1,46
2021-06-29,"1 dose",45,46
2021-06-30,"1 dose",26,29
2021-06-30,"2 dose",3,29
2021-07-01,"1 dose",24,29
2021-07-01,"2 dose",5,29
2021-07-02,"1 dose",34,37
2021-07-02,"2 dose",3,37
2021-07-03,"2 dose",1,27
2021-07-03,"1 dose",26,27
2021-07-04,"2 dose",3,16
2021-07-04,"1 dose",13,16
2021-07-05,"2 dose",3,18
2021-07-05,"1 dose",15,18
2021-07-06,"2 dose",2,28
2021-07-06,"1 dose",26,28
2021-07-07,"1 dose",34,34
2021-07-08,"2 dose",2,18
2021-07-08,"1 dose",16,18
2021-07-09,"1 dose",13,15
2021-07-09,"2 dose",2,15
2021-07-10,"1 dose",19,21
2021-07-10,"2 dose",2,21
2021-07-11,"1 dose",17,17
2021-07-12,"1 dose",14,15
2021-07-12,"2 dose",1,15
2021-07-13,"1 dose",12,14
2021-07-13,"2 dose",2,14
2021-07-14,"1 dose",19,22
2021-07-14,"2 dose",3,22
2021-07-15,"1 dose",13,15
2021-07-15,"2 dose",2,15
2021-07-16,"1 dose",9,13
2021-07-16,"2 dose",4,13
2021-07-17,"1 dose",19,19
2021-07-18,"1 dose",10,10
2021-07-19,"1 dose",9,10
2021-07-19,"2 dose",1,10
2021-07-20,"1 dose",11,13
2021-07-20,"2 dose",2,13
2021-07-21,"1 dose",9,10
2021-07-21,"2 dose",1,10
2021-07-22,"2 dose",1,11
2021-07-22,"1 dose",10,11
2021-07-23,"1 dose",8,9
2021-07-23,"2 dose",1,9
2021-07-24,"1 dose",6,7
2021-07-24,"2 dose",1,7
2021-07-25,"2 dose",1,9
2021-07-25,"1 dose",8,9
2021-07-26,"1 dose",8,8
2021-07-27,"1 dose",6,8
2021-07-27,"2 dose",2,8
2021-07-28,"1 dose",8,9
2021-07-28,"2 dose",1,9
2021-07-29,"1 dose",10,10
2021-07-30,"2 dose",4,11
2021-07-30,"1 dose",7,11
2021-07-31,"1 dose",7,7
2021-08-01,"1 dose",4,5
2021-08-02,"2 dose",2,6
2021-08-02,"1 dose",4,6
2021-08-03,"1 dose",9,10
2021-08-03,"2 dose",1,10
2021-08-04,"1 dose",10,12
2021-08-04,"2 dose",2,12
2021-08-05,"1 dose",6,7
2021-08-05,"2 dose",1,7
2021-08-06,"1 dose",11,14
2021-08-06,"2 dose",3,14
2021-08-07,"1 dose",7,10
2021-08-07,"2 dose",3,10
2021-08-08,"1 dose",5,6
2021-08-08,"2 dose",1,6
2021-08-09,"1 dose",12,12
2021-08-10,"2 dose",2,21
2021-08-10,"1 dose",19,21
2021-08-11,"1 dose",15,15
2021-08-12,"2 dose",5,18
2021-08-12,"1 dose",13,18
2021-08-13,"1 dose",19,23
2021-08-13,"2 dose",4,23
2021-08-14,"2 dose",1,10
2021-08-14,"1 dose",9,10
2021-08-15,"1 dose",12,13
2021-08-15,"2 dose",1,13
2021-08-16,"1 dose",14,14
2021-08-17,"2 dose",1,14
2021-08-17,"1 dose",13,14
2021-08-18,"1 dose",13,15
2021-08-18,"2 dose",2,15
2021-08-19,"1 dose",15,15
2021-08-20,"1 dose",16,17
2021-08-20,"2 dose",1,17
2021-08-21,"2 dose",1,18
2021-08-21,"1 dose",17,18
2021-08-22,"1 dose",16,20
2021-08-22,"2 dose",4,20
2021-08-23,"1 dose",22,25
2021-08-23,"2 dose",3,25
2021-08-24,"1 dose",14,17
2021-08-24,"2 dose",3,17
2021-08-25,"2 dose",1,14
2021-08-25,"1 dose",13,14
2021-08-26,"1 dose",13,15
2021-08-26,"2 dose",2,15
2021-08-27,"2 dose",1,6
2021-08-27,"1 dose",5,6
2021-08-28,"2 dose",4,9
2021-08-28,"1 dose",5,9
2021-08-29,"1 dose",6,7
2021-08-29,"2 dose",1,7
2021-08-30,"1 dose",4,5
2021-08-31,"1 dose",6,8
2021-08-31,"2 dose",2,8
2021-09-01,"1 dose",9,12
2021-09-01,"2 dose",3,12
2021-09-02,"2 dose",2,13
2021-09-02,"1 dose",11,13
2021-09-03,"2 dose",1,7
2021-09-03,"1 dose",6,7
2021-09-04,"1 dose",7,8
2021-09-04,"2 dose",1,8
2021-09-05,"1 dose",9,10
2021-09-05,"2 dose",1,10
2021-09-06,"2 dose",2,5
2021-09-06,"1 dose",3,5
2021-09-07,"1 dose",5,5
2021-09-08,"1 dose",5,5
2021-09-09,"1 dose",7,9
2021-09-09,"2 dose",2,9
2021-09-10,"1 dose",6,9
2021-09-10,"2 dose",3,9
2021-09-11,"1 dose",5,5
2021-09-12,"1 dose",6,8
2021-09-12,"2 dose",2,8
2021-09-13,"1 dose",9,10
2021-09-13,"2 dose",1,10
2021-09-14,"1 dose",7,9
2021-09-14,"2 dose",2,9
2021-09-15,"2 dose",4,11
2021-09-15,"1 dose",7,11
2021-09-16,"1 dose",7,10
2021-09-16,"2 dose",3,10
2021-09-17,"1 dose",6,11
2021-09-17,"2 dose",5,11
2021-09-18,"1 dose",7,11
2021-09-18,"2 dose",4,11
2021-09-19,"1 dose",1,5
2021-09-19,"2 dose",1,5
2021-09-20,"2 dose",14,17
2021-09-20,"1 dose",3,17
2021-09-21,"1 dose",6,29
2021-09-21,"2 dose",23,29
2021-09-22,"1 dose",4,20
2021-09-22,"2 dose",16,20
2021-09-23,"1 dose",3,27
2021-09-23,"2 dose",24,27
2021-09-24,"1 dose",12,37
2021-09-24,"2 dose",25,37
2021-09-25,"2 dose",18,32
2021-09-25,"1 dose",14,32
2021-09-26,"3 dose",1,24
2021-09-26,"2 dose",14,24
2021-09-26,"1 dose",9,24
2021-09-27,"2 dose",37,44
2021-09-27,"1 dose",7,44
2021-09-28,"3 dose",1,47
2021-09-28,"1 dose",5,47
2021-09-28,"2 dose",41,47
2021-09-29,"2 dose",37,46
2021-09-29,"1 dose",9,46
2021-09-30,"3 dose",1,65
2021-09-30,"1 dose",11,65
2021-09-30,"2 dose",53,65
2021-10-01,"1 dose",12,55
2021-10-01,"3 dose",1,55
2021-10-01,"2 dose",42,55
2021-10-02,"2 dose",33,60
2021-10-02,"1 dose",27,60
2021-10-03,"2 dose",14,36
2021-10-03,"1 dose",22,36
2021-10-04,"1 dose",13,49
2021-10-04,"2 dose",36,49
2021-10-05,"2 dose",43,52
