"cohort_start_date","n"
2021-03-09,115
2021-07-13,77
2023-06-08,10
2022-10-10,71
2022-10-28,73
2022-07-14,5
2023-06-10,5
2025-03-31,6
2022-09-25,30
2022-09-22,51
2024-04-28,7
2022-07-20,8
2022-04-08,46
2024-02-15,5
2023-09-24,11
2022-05-19,23
2021-12-30,162
2025-05-02,14
2020-12-23,22
2021-10-27,108
2023-02-25,5
2024-06-21,5
2021-10-15,70
2024-09-29,5
2023-09-08,12
2022-05-23,8
2021-11-22,83
2022-10-21,63
2022-02-25,16
2022-04-01,26
2023-12-04,22
2024-11-12,47
2021-12-03,88
2025-01-18,5
2022-01-23,36
2023-05-20,16
2024-12-14,10
2022-12-23,5
2021-11-10,106
2021-09-06,20
2021-06-06,88
2021-10-12,80
2023-04-19,32
2022-03-17,5
2020-08-31,5
2022-12-06,20
2023-06-11,5
2025-05-06,16
2022-01-28,27
2021-03-03,131
2021-07-08,94
2024-04-06,5
2021-06-27,61
2023-09-27,40
2022-01-22,30
2022-06-12,7
2023-06-12,5
2025-05-10,6
2022-03-11,14
2023-01-28,5
2022-03-02,14
2024-04-13,7
2024-04-17,29
2021-01-04,19
2022-03-29,24
2021-01-27,114
2023-09-17,6
2021-01-12,70
2024-06-24,6
2021-07-17,55
2023-01-20,5
2023-11-20,28
2023-02-05,5
2024-05-27,9
2023-04-02,5
2023-04-09,5
2022-07-12,5
2021-09-25,35
2025-04-17,14
2022-02-18,9
2022-09-14,39
2025-01-20,5
2021-04-01,143
2023-05-05,21
2023-03-29,6
2021-11-02,91
2022-01-15,41
2022-06-15,14
2024-11-19,42
2023-10-03,75
2024-04-03,10
2021-03-16,153
2024-01-31,5
2021-04-24,131
2022-08-15,5
2024-06-13,8
2022-12-14,15
2023-09-15,26
2021-09-26,28
2022-07-01,5
2025-01-30,5
2023-10-11,52
2021-10-03,41
2021-06-19,103
2024-12-03,18
2021-08-13,64
2023-02-27,5
2023-04-05,19
2023-10-17,73
2024-01-15,5
2021-03-12,148
2023-09-04,8
2024-05-22,13
2022-12-15,10
2023-06-09,12
2021-10-29,94
2024-01-02,5
2024-10-06,12
2025-04-15,27
2021-05-30,64
2023-11-27,33
2021-08-09,47
2022-01-25,27
2023-01-03,5
2024-12-13,23
2021-07-12,65
2021-08-08,41
2022-01-08,64
2022-06-13,5
2021-06-03,144
2021-12-29,130
2022-03-19,20
2024-11-06,30
2023-02-21,5
2021-08-07,41
2022-02-20,11
2023-09-26,34
2021-12-10,112
2022-07-30,8
2022-06-08,8
2022-09-24,70
2023-10-20,36
2023-06-28,5
2024-02-02,5
2023-09-25,52
2021-07-23,63
2021-05-05,157
2023-05-10,26
2021-11-20,104
2023-11-07,42
2024-02-14,5
2022-11-07,58
2023-09-29,41
2021-06-24,103
2021-04-25,94
2024-10-11,43
2021-10-06,92
2021-10-22,89
2023-09-23,23
2024-11-09,15
2024-10-15,53
2022-03-18,9
2023-04-08,5
2023-04-26,31
2022-06-09,14
2025-05-08,17
2025-05-07,18
2025-04-03,6
2024-11-29,24
2021-09-03,23
2023-10-24,77
2022-09-04,5
2021-07-06,105
2021-05-03,64
2025-04-30,24
2023-02-09,5
2022-09-21,65
2023-04-18,34
2022-06-23,7
2021-01-23,103
2021-02-11,163
2023-07-03,5
2023-12-20,8
2024-03-14,5
2022-10-25,93
2024-01-11,5
2023-03-16,5
2021-07-19,57
2022-06-05,5
2021-04-14,140
2022-09-13,31
2021-04-17,157
2021-07-31,44
2021-06-05,167
2021-10-16,92
2022-12-05,36
2021-10-20,86
2022-04-13,44
2021-12-12,106
2021-01-30,102
2021-12-05,92
2022-04-21,46
2022-11-06,45
2021-09-29,53
2021-05-28,145
2023-04-16,5
2021-03-07,51
2022-05-27,10
2023-11-22,36
2021-09-24,41
2023-02-11,5
2021-05-04,135
2022-03-21,10
2024-05-20,17
2021-01-21,110
2022-08-23,5
2022-12-22,7
2021-01-24,29
2024-02-21,5
2024-04-20,20
2021-10-07,72
2025-05-04,5
2023-05-27,6
2021-02-22,89
2022-01-16,39
2024-11-01,37
2022-08-07,5
2023-01-15,5
2020-10-14,5
2022-11-28,27
2023-06-16,5
2021-10-25,72
2024-10-27,14
2022-12-12,17
2023-01-16,5
2024-05-05,9
2022-09-06,36
2021-08-18,50
2025-04-09,6
2021-01-02,5
2022-08-20,6
2023-09-14,26
2023-12-10,8
2022-08-22,5
2021-04-28,142
2023-11-13,36
2024-11-03,15
2022-03-24,13
2022-11-05,70
2021-01-11,44
2022-04-14,36
2022-04-27,35
2025-04-05,16
2021-07-10,77
2022-11-27,26
2023-10-27,39
2021-04-04,46
2021-06-28,94
2021-04-09,149
2021-06-09,161
2021-02-10,154
2022-02-04,18
2021-02-03,110
2024-10-10,35
2024-06-27,5
2024-01-23,5
2022-07-25,5
2022-03-03,8
2024-09-30,10
2023-04-25,44
2021-07-27,47
2024-10-14,47
2023-04-07,5
2022-02-02,34
2021-03-02,128
2021-11-23,108
2021-11-11,112
2024-04-10,7
2024-12-19,13
2023-11-08,34
2024-01-07,5
2021-06-23,102
2020-12-16,16
2024-05-18,17
2023-02-14,5
2021-07-15,60
2021-08-02,50
2023-01-13,5
2023-04-04,16
2023-12-07,20
2022-11-23,54
2022-11-20,33
2021-02-23,112
2023-03-31,5
2021-05-09,78
2023-12-09,17
2024-10-12,82
2021-09-22,26
2023-04-14,25
2024-06-22,5
2021-06-17,124
2021-06-12,132
2022-03-15,11
2022-02-10,13
2023-11-14,38
2021-02-08,148
2021-05-25,168
2023-01-07,5
2024-10-01,31
2022-09-09,32
2022-07-24,6
2023-11-26,13
2023-12-18,14
2022-09-27,64
2024-12-05,28
2021-05-17,97
2021-12-22,273
2024-10-05,58
2023-05-02,28
2023-02-22,5
2024-05-04,9
2021-04-29,139
2021-06-02,164
2021-05-31,108
2024-06-25,5
2021-04-26,114
2021-10-28,101
2021-06-11,139
2021-06-07,127
2021-06-14,119
2024-04-27,21
2022-12-31,5
2024-06-26,5
2023-09-30,54
2023-04-17,19
2024-06-29,5
2023-12-17,5
2021-09-05,21
2021-08-23,62
2022-05-03,23
2023-06-30,5
2023-11-25,26
2022-03-31,19
2024-04-16,36
2021-10-14,70
2022-01-31,25
2024-11-07,38
2021-06-26,88
2022-11-14,63
2024-05-03,21
2024-07-04,5
2024-06-19,5
2022-10-31,63
2021-01-16,65
2024-12-17,19
2021-11-08,88
2021-02-12,180
2020-12-24,10
2020-12-11,15
2021-02-19,101
2022-03-25,11
2021-04-20,166
2022-10-06,73
2025-04-14,13
2021-12-06,109
2022-05-17,30
2023-02-23,5
2023-11-05,15
2024-05-07,26
2022-04-06,29
2024-11-08,33
2021-09-18,22
2022-03-20,8
2024-01-05,5
2024-04-29,24
2021-10-13,74
2021-08-11,62
2021-04-11,58
2022-04-20,48
2021-08-06,45
2021-01-15,88
2022-08-06,5
2023-01-14,5
2022-06-27,16
2024-10-02,27
2025-01-08,5
2022-07-11,5
2022-05-18,38
2021-05-22,116
2022-04-07,24
2021-05-19,143
2022-02-15,27
2020-12-19,14
2023-05-22,18
2023-11-24,37
2022-12-21,6
2022-06-18,23
2022-10-24,59
2022-08-12,5
2021-08-22,41
2021-09-19,6
2023-01-06,6
2023-04-12,29
2024-03-19,5
2021-08-30,21
2024-12-16,10
2022-10-30,40
2024-01-27,5
2021-01-22,116
2025-05-01,33
2023-09-16,5
2024-11-05,35
2022-09-23,79
2024-04-07,5
2024-04-26,32
2021-02-20,70
2021-07-03,72
2021-08-16,40
2023-05-13,25
2023-09-05,11
2021-09-16,16
2021-12-01,107
2021-03-26,173
2022-11-21,47
2025-05-03,9
2022-06-04,10
2021-11-09,111
2021-06-21,86
2023-11-16,32
2024-05-06,5
2025-01-10,5
2023-10-29,15
2021-02-09,149
2022-01-09,50
2021-04-22,177
2022-02-09,13
2024-05-30,12
2022-11-11,54
2023-06-14,8
2024-04-15,29
2021-09-20,25
2024-01-29,5
2021-02-17,114
2021-12-28,134
2021-03-31,194
2023-12-22,6
2021-05-08,110
2021-05-11,133
2024-11-23,18
2024-10-03,27
2024-05-24,12
2024-09-28,15
2023-10-02,48
2021-11-27,103
2022-07-21,8
2025-01-11,5
2024-06-20,5
2022-07-07,7
2022-08-24,5
2021-03-13,121
2024-12-10,18
2022-11-01,74
2023-03-23,5
2022-09-03,12
2023-04-23,14
2023-03-27,5
2024-10-16,41
2024-04-14,5
2021-08-29,24
2023-03-04,5
2023-05-06,6
2022-08-17,5
2024-11-13,33
2022-06-26,8
2023-06-17,5
2023-12-05,28
2023-03-03,5
2024-04-25,37
2024-01-08,5
2022-11-13,40
2021-10-02,64
2023-07-01,5
2023-03-24,5
2022-05-08,19
2021-01-20,79
2025-01-03,5
2023-12-24,5
2024-02-10,5
2021-05-18,117
2023-09-20,36
2023-12-01,31
2023-05-15,27
2023-09-18,27
2021-10-08,71
2022-11-24,58
2021-06-13,96
2023-09-21,42
2021-08-24,52
2023-02-24,5
2022-02-23,11
2022-03-08,11
2022-10-11,94
2021-04-08,139
2022-12-03,30
2021-04-10,178
2022-07-15,5
2021-09-12,22
2022-11-12,55
2024-10-30,29
2023-05-30,11
2022-04-28,23
2021-03-15,128
2021-07-28,58
2025-04-12,16
2022-12-28,7
2021-02-25,119
2021-06-18,101
2024-06-15,6
2022-03-28,33
2020-12-17,29
2023-03-02,5
2021-10-18,95
2025-05-15,5
2020-06-01,5
2021-02-14,85
2020-11-04,5
2021-02-13,132
2021-07-11,50
2024-06-23,5
2023-04-10,6
2024-10-25,37
2023-05-26,9
2024-12-08,7
2023-04-15,17
2023-06-03,5
2021-08-15,40
2021-08-19,71
2022-07-16,10
2022-09-16,34
2022-07-26,5
2024-10-21,36
2022-10-29,70
2021-11-14,74
2022-03-04,13
2021-10-04,56
2022-07-27,5
2022-11-17,55
2022-08-31,5
2021-02-04,167
2025-04-16,16
2022-08-21,5
2022-07-22,7
2023-10-26,44
2022-07-18,5
2023-05-12,17
2020-12-21,25
2020-12-10,5
2023-05-25,26
2024-11-25,22
2022-03-26,14
2021-02-01,98
2023-09-10,5
2022-11-03,56
2021-12-07,111
2022-11-04,60
2024-10-17,46
2023-09-28,47
2023-06-13,7
2023-11-15,26
2021-11-18,116
2024-12-06,29
2022-05-26,13
2023-04-03,9
2021-10-19,87
2024-12-18,11
2022-04-24,26
2025-04-02,5
2023-05-14,7
2024-11-30,22
2023-10-14,76
2021-03-08,62
2023-11-23,29
2023-06-01,8
2022-10-27,71
2025-05-13,6
2024-12-20,12
2021-11-26,91
2021-07-29,49
2021-03-10,130
2023-06-15,7
2020-12-29,18
2022-10-22,122
2024-05-21,19
2023-11-12,15
2023-10-18,71
2022-11-19,46
2021-05-21,150
2025-04-10,7
2021-06-25,101
2021-09-09,25
2025-04-19,8
2021-10-11,67
2024-04-11,6
2022-06-29,5
2023-05-29,6
2021-04-05,45
2025-04-23,18
2022-05-05,43
2023-01-29,5
2024-11-18,35
2022-03-05,14
2021-11-16,112
2023-10-12,59
2021-06-04,162
2021-09-11,25
2021-01-25,78
2024-11-20,26
2023-12-03,9
2021-07-01,90
2021-05-29,109
2022-11-10,53
2022-08-01,5
2023-04-22,19
2023-11-19,5
2023-05-17,22
2022-04-25,37
2024-01-22,5
2022-06-14,7
2023-05-01,7
2021-08-25,38
2024-02-12,5
2025-05-14,5
2020-12-31,13
2022-09-15,36
2022-05-30,12
2021-02-07,81
2023-06-21,5
2023-12-28,6
2020-11-10,5
2021-09-04,28
2022-12-09,22
2022-10-12,88
2022-05-13,21
2021-08-10,61
2022-12-18,5
2021-08-14,50
2025-05-12,12
2020-11-27,5
2023-02-07,5
2024-10-09,33
2023-03-22,5
2024-11-26,24
2021-03-01,89
2024-05-12,10
2023-12-11,22
2024-06-04,8
2024-12-23,6
2022-04-23,38
2021-04-07,121
2023-11-10,33
2022-06-17,11
2021-03-28,94
2024-04-08,5
2022-05-15,12
2024-10-26,46
2024-04-23,27
2022-10-18,66
2021-11-15,72
2022-07-23,6
2021-08-21,60
2021-03-06,104
2023-01-18,5
2025-04-18,5
2025-04-21,5
2024-04-05,5
2024-10-22,54
2021-11-04,117
2023-09-13,26
2020-12-12,7
2022-08-29,5
2025-02-16,5
2024-11-02,23
2024-05-09,36
2021-06-16,161
2022-10-23,34
2022-04-16,21
2022-06-11,7
2024-12-07,6
2021-01-28,108
2022-07-02,9
2022-02-21,11
2021-05-16,79
2025-04-27,6
2021-01-08,47
2021-07-09,76
2022-07-08,6
2021-12-23,207
2023-05-24,12
2022-10-17,67
2023-01-23,6
2024-11-15,38
2022-05-09,20
2024-05-16,22
2021-09-23,29
2024-01-10,5
2024-11-21,30
2022-12-02,28
2025-01-23,5
2022-01-21,38
2022-02-22,16
2023-12-21,5
2021-07-07,103
2021-01-10,18
2023-09-06,6
2024-01-19,5
2023-06-25,5
2024-01-16,5
2024-06-02,5
2022-09-01,9
2021-09-14,13
2021-04-15,134
2024-04-12,6
2023-12-30,5
2024-11-22,27
2023-10-09,44
2021-12-19,189
2023-03-13,5
2023-10-01,6
2022-04-09,34
2022-01-30,25
2022-09-02,14
2021-07-22,71
2024-05-10,26
2024-04-22,22
2021-04-21,192
2024-05-02,32
2023-05-08,5
2021-11-21,61
2021-03-30,156
2022-06-20,13
2025-01-26,5
2022-10-14,73
2021-03-05,99
2022-02-14,12
2022-04-10,21
2022-06-24,5
2024-02-08,5
2022-10-09,55
2021-03-04,138
2022-07-04,8
2021-09-27,46
2021-01-31,52
2021-12-04,118
2024-06-10,6
2025-01-15,5
2022-06-10,10
2024-12-12,17
2021-02-06,161
2022-08-26,5
2023-10-30,40
2022-04-19,53
2021-08-05,46
2024-07-31,5
2023-07-12,5
2024-11-10,16
2024-06-12,5
2023-06-26,5
2022-10-05,66
2023-11-17,35
2022-12-17,9
2022-09-08,42
2023-10-16,62
2023-03-28,5
2021-02-26,124
2022-10-20,89
2023-01-08,5
2022-09-29,90
2023-12-19,12
2023-12-06,23
2023-10-31,54
2024-06-28,5
2021-01-03,6
2022-05-11,29
2022-12-30,5
2021-05-24,113
2021-03-23,178
2023-11-11,31
2022-02-11,28
2025-01-24,5
2023-02-20,5
2022-05-07,32
2021-03-29,141
2025-01-07,6
2021-11-24,109
2022-03-27,10
2022-01-04,94
2022-07-03,7
2025-02-05,5
2023-10-06,43
2025-01-22,6
2022-06-22,9
2022-05-04,27
2022-07-19,5
2024-11-27,26
2021-05-26,144
2024-05-14,26
2021-11-12,97
2024-12-09,35
2020-12-13,5
