"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"1","cdm_gold_202507","overall","overall","overall","overall","general",NA,"snapshot_date","date","2026-03-03","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","general",NA,"person_count","integer","100000","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","general",NA,"vocabulary_version","character","v5.0 27-FEB-25","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm",NA,"source_name","character","Clinical Practice Research Datalink, GOLD 202507  release","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm",NA,"version","character","5.4","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm",NA,"holder_name","character","NDORMS","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm",NA,"release_date","character","2025-08-15","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm",NA,"description","character","The Clinical Practice Research Datalink (CPRD) GOLD is a database of anonymised electronic health records (EHR) from General Practitioner (GP) clinics in the UK.","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm",NA,"documentation_reference","character","https://cprd.com/primary-care-data-public-health-research","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","observation_period",NA,"count","integer","100000","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","observation_period",NA,"start_date","date","1987-09-09","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","observation_period",NA,"end_date","date","2025-05-20","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm_source",NA,"type","character","postgresql","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm_source",NA,"package","character","CDMConnector","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm_source",NA,"write_schema","character","results","overall","overall"
"1","cdm_gold_202507","overall","overall","overall","overall","cdm_source",NA,"write_prefix","character","results","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"mean","numeric","1","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"sd","numeric","0","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"min","integer","1","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"q05","integer","1","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"q25","integer","1","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"median","integer","1","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"q75","integer","1","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"q95","integer","1","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Records per person",NA,"max","integer","1","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"mean","numeric","3048.49595","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"sd","numeric","2725.38990216167","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"min","numeric","2","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"q05","numeric","120","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"q25","numeric","729","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"median","numeric","2148","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"q75","numeric","4930.25","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"q95","numeric","8257.04999999999","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days",NA,"max","numeric","13308","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"mean","numeric","3048.49595","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"sd","numeric","2725.38990216167","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"min","numeric","2","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"q05","numeric","120","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"q25","numeric","729","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"median","numeric","2148","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"q75","numeric","4930.25","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"q95","numeric","8257.04999999999","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"max","numeric","13308","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Number records",NA,"count","integer","100000","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Number subjects",NA,"count","integer","100000","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_001","density_x","numeric","14","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_001","density_y","numeric","0.000200076988296351","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_002","density_x","numeric","34.7964774951076","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_002","density_y","numeric","0.000211878704392964","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_003","density_x","numeric","55.5929549902153","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_003","density_y","numeric","0.000223343285076935","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_004","density_x","numeric","76.3894324853229","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_004","density_y","numeric","0.000234385152611192","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_005","density_x","numeric","97.1859099804305","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_005","density_y","numeric","0.000244923808950762","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_006","density_x","numeric","117.982387475538","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_006","density_y","numeric","0.000254884810448914","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_007","density_x","numeric","138.778864970646","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_007","density_y","numeric","0.000264084235884303","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_008","density_x","numeric","159.575342465753","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_008","density_y","numeric","0.000272511466112583","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_009","density_x","numeric","180.371819960861","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_009","density_y","numeric","0.000280170825067874","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_010","density_x","numeric","201.168297455969","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_010","density_y","numeric","0.000287033197131795","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_011","density_x","numeric","221.964774951076","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_011","density_y","numeric","0.000293079094976131","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_012","density_x","numeric","242.761252446184","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_012","density_y","numeric","0.000298298554366678","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_013","density_x","numeric","263.557729941292","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_013","density_y","numeric","0.000302637012656848","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_014","density_x","numeric","284.354207436399","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_014","density_y","numeric","0.00030603633579479","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_015","density_x","numeric","305.150684931507","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_015","density_y","numeric","0.000308654167002417","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_016","density_x","numeric","325.947162426614","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_016","density_y","numeric","0.000310522298254903","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_017","density_x","numeric","346.743639921722","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_017","density_y","numeric","0.000311677913252508","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_018","density_x","numeric","367.54011741683","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_018","density_y","numeric","0.00031216281801384","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_019","density_x","numeric","388.336594911937","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_019","density_y","numeric","0.000312022664933033","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_020","density_x","numeric","409.133072407045","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_020","density_y","numeric","0.000311207239523718","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_021","density_x","numeric","429.929549902153","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_021","density_y","numeric","0.000309880985318251","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_022","density_x","numeric","450.72602739726","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_022","density_y","numeric","0.000308110791926894","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_023","density_x","numeric","471.522504892368","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_023","density_y","numeric","0.000305947229431953","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_024","density_x","numeric","492.318982387476","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_024","density_y","numeric","0.000303439565769735","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_025","density_x","numeric","513.115459882583","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_025","density_y","numeric","0.000300635327031601","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_026","density_x","numeric","533.911937377691","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_026","density_y","numeric","0.000297559700147851","overall","overall"
